,type,fixed acidity,volatile acidity_big,citric acid_big,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,CpH-103,CpH-101,CpH-102,sulphates,alcohol,quality,pH_bup,sulphates_bup,alcohol_bup,quality_re,type_2,type_of_coluor,quality_re.1,type_dubl,type_of_coluor.1,the_state_manufacturing ,city,manfacutuered_name ,Quantity
16,white,6.3,480000,40000,1.1,0.046,30,99,0.9928,3.47,3.24,3.24,0.36,9.6,6,9.18,10.932,12.684,14.436,black,black,15.436,white,black,France,paris,�THE WINE GROUP,10000
17,white,,660000,480000,1.2,0.029,29,75,0.9892,3.47,3.33,3.33,0.39,12.8,8,12.735,15.377,18.019,20.661,gray,gray,21.661,white,gray,France,Buenos Aires,�VINA CONCHA Y TORO,10000
18,white,7.4,340000,420000,1.1,0.033,17,171,0.9917,3.47,3.12,3.12,0.53,11.3,6,10.09,12.031,13.972,15.913,greeen ,greeen ,16.913,white,greeen ,France,mancity,�VINA CONCHA Y TORO,10000
19,white,6.5,310000,140000,7.5,0.044,34,133,0.9955,3.47,3.22,3.22,0.5,9.5,5,8.14,9.574,11.008,12.442,yellow ,yellow ,13.442,white,yellow ,France,"Washington, D.C.",�VINA CONCHA Y TORO,10000
20,white,6.2,660000,480000,1.2,0.029,29,75,0.9892,3.47,3.33,3.33,0.39,12.8,8,12.735,15.377,18.019,20.661,brown ,brown ,21.661,white,brown ,France,Buenos Aires ,�VINA CONCHA Y TORO,10000
21,white,6.4,310000,380000,2.9,0.038,19,102,0.9912,3.47,3.17,3.17,0.35,11,7,10.915,13.129,15.343,17.557,red,red,18.557,white,red,USA,paris,�VINA CONCHA Y TORO,10000
22,white,6.8,260000,420000,1.7,0.049,41,122,0.993,3.47,3.47,3.47,0.48,10.5,8,11.515,13.876,16.237,18.598,black,black,19.598,white,black,USA,Buenos Aires,�VINA CONCHA Y TORO,10000
23,white,7.6,670000,140000,1.5,0.074,25,168,0.9937,3.47,3.05,3.05,0.51,9.3,5,8.125,9.589,11.053,12.517,gray,gray,13.517,white,gray,USA,mancity,�VINA CONCHA Y TORO,10000
24,white,6.6,270000,410000,1.3,0.052,16,142,0.9951,3.47,3.42,3.42,0.47,10,6,9.29,11.017,12.744,14.471,greeen ,greeen ,15.471,white,greeen ,USA,"Washington, D.C.",�VINA CONCHA Y TORO,10000
25,white,7,250000,320000,9,0.046,56,245,0.9955,3.47,3.25,3.25,0.5,10.4,6,9.575,11.39,13.205,15.02,yellow ,yellow ,16.02,white,yellow ,USA,Buenos Aires ,�VINA CONCHA Y TORO,10000
26,white,6.9,240000,350000,1,0.052,35,146,0.993,3.47,3.45,3.45,0.44,10,6,9.275,10.996,12.717,14.438,brown ,brown ,15.438,white,brown ,USA,paris,CASTEL FRERES,10000
27,white,7,280000,390000,8.7,0.051,32,141,0.9961,3.47,3.38,3.38,0.53,10.5,6,9.56,11.343,13.126,14.909,red,red,15.909,white,red,USA,Buenos Aires,CASTEL FRERES,10000
28,white,7.4,270000,480000,1.1,0.047,17,132,0.9914,3.47,3.19,3.19,0.49,11.6,6,10.205,12.159,14.113,16.067,black,black,17.067,white,black,USA,mancity,CASTEL FRERES,10000
29,white,7.2,320000,360000,2,0.033,37,114,0.9906,3.47,3.1,3.1,0.71,12.3,7,11.6,13.929,16.258,18.587,gray,gray,19.587,white,gray,USA,"Washington, D.C.",CASTEL FRERES,10000
30,white,8.5,240000,390000,10.4,0.044,20,142,0.9974,3.47,3.2,3.2,0.53,10,6,9.4,11.187,12.974,14.761,greeen ,greeen ,15.761,white,greeen ,Argentina,Buenos Aires ,CASTEL FRERES,10000
31,white,8.3,140000,340000,1.1,0.042,7,47,0.9934,3.47,3.47,3.47,0.4,10.2,6,9.365,11.104,12.843,14.582,yellow ,yellow ,15.582,white,yellow ,France,paris,CASTEL FRERES,10000
32,white,7.4,250000,360000,2.05,0.05,31,100,0.992,3.19,3.19,3.19,0.44,10.8,6,9.805,11.684,13.563,15.442,brown ,brown ,16.442,white,brown ,Argentina,Buenos Aires,CASTEL FRERES,10000
33,white,6.2,120000,340000,,0.045,43,117,0.9939,3.42,3.42,3.42,0.51,9,6,8.79,10.413,12.036,13.659,red,red,14.659,white,red,France,mancity,CASTEL FRERES,10000
34,white,5.8,270000,200000,14.95,0.044,22,179,0.9962,3.37,3.37,3.37,0.37,10.2,5,8.415,9.887,11.359,12.831,black,black,13.831,white,black,Argentina,"Washington, D.C.",CASTEL FRERES,10000
35,white,7.3,280000,430000,1.7,0.08,21,123,0.9905,3.19,3.19,3.19,0.42,12.8,5,9.805,11.586,13.367,15.148,gray,gray,16.148,white,gray,England ,Buenos Aires ,CASTEL FRERES,10000
36,white,6.5,390000,230000,5.4,0.051,25,149,0.9934,3.24,3.24,3.24,0.35,10,5,8.38,9.873,11.366,12.859,greeen ,greeen ,13.859,white,greeen ,USA,paris,CASTEL FRERES,10000
37,white,7,330000,320000,1.2,0.053,38,138,0.9906,3.13,3.13,3.13,0.28,11.2,6,10.035,11.988,13.941,15.894,yellow ,yellow ,16.894,white,yellow ,England ,Buenos Aires,CASTEL FRERES,10000
38,white,7.3,240000,390000,17.95,0.057,45,149,0.9999,3.21,3.21,3.21,0.36,8.6,5,7.695,9.056,10.417,11.778,brown ,brown ,12.778,white,brown ,England ,mancity,CASTEL FRERES,10000
39,white,7.3,240000,390000,17.95,0.057,45,149,0.9999,3.21,3.21,3.21,0.36,8.6,5,7.695,9.056,10.417,11.778,red,red,12.778,white,red,England ,"Washington, D.C.",CASTEL FRERES,10000
40,white,6.7,230000,390000,2.5,0.172,63,158,0.9937,3.11,3.11,3.11,0.36,9.4,6,9.145,10.916,12.687,14.458,black,black,15.458,white,black,England ,Buenos Aires ,CASTEL FRERES,10000
41,white,6.7,240000,390000,2.9,0.173,63,157,0.9937,3.1,3.1,3.1,0.34,9.4,6,9.15,10.926,12.702,14.478,gray,gray,15.478,white,gray,England ,paris,CASTEL FRERES,10000
42,white,7,310000,260000,7.4,0.069,28,160,0.9954,3.13,3.13,3.13,0.46,9.8,6,9.335,11.13,12.925,14.72,greeen ,greeen ,15.72,white,greeen ,England ,Buenos Aires,CASTEL FRERES,10000
43,white,6.6,240000,270000,1.4,0.057,33,152,0.9934,3.22,3.22,3.22,0.56,9.5,6,9.14,10.868,12.596,14.324,yellow ,yellow ,15.324,white,yellow ,England ,mancity,CASTEL FRERES,10000
44,white,6.7,230000,260000,1.4,0.06,33,154,0.9934,3.24,3.24,3.22,0.56,9.5,6,9.13,10.852,12.574,14.296,brown ,brown ,15.296,white,brown ,England ,"Washington, D.C.",CASTEL FRERES,10000
45,white,7.4,180000,310000,1.4,0.058,38,167,0.9931,3.16,3.16,3.22,0.53,10,7,10.42,12.519,14.618,16.717,red,red,17.717,white,red,England ,Buenos Aires ,CASTEL FRERES,10000
46,white,6.2,450000,260000,4.4,0.063,63,206,0.994,3.27,3.27,3.22,0.52,9.8,4,7.265,8.412,9.559,10.706,black,black,11.706,white,black,England ,paris,CASTEL FRERES,10000
47,white,6.2,460000,250000,4.4,0.066,62,207,0.9939,3.25,3.25,3.22,0.52,9.8,5,8.275,9.728,11.181,12.634,gray,gray,13.634,white,gray,France,Buenos Aires,CASTEL FRERES,10000
48,white,7,310000,260000,7.4,0.069,28,160,0.9954,3.13,3.13,3.22,0.46,9.8,6,9.335,11.13,12.925,14.72,greeen ,greeen ,15.72,white,greeen ,France,mancity,CASTEL FRERES,10000
49,white,6.9,190000,350000,5,0.067,32,150,0.995,3.36,3.36,3.22,0.48,9.8,5,8.22,9.644,11.068,12.492,yellow ,yellow ,13.492,white,yellow ,France,"Washington, D.C.",CASTEL FRERES,10000
50,white,7.2,190000,310000,1.6,0.062,31,173,0.9917,3.35,3.35,3.22,0.44,11.7,6,10.175,12.096,14.017,15.938,brown ,brown ,16.938,white,brown ,France,Buenos Aires ,CASTEL FRERES,10000
51,white,6.6,250000,290000,1.1,0.068,39,124,0.9914,3.34,3.34,3.22,0.58,11,7,10.83,12.97,15.11,17.25,red,red,18.25,white,red,France,paris,CASTEL FRERES,10000
52,white,6.2,160000,330000,1.1,0.057,21,82,0.991,3.32,3.32,3.22,0.46,10.9,7,10.79,12.938,15.086,17.234,black,black,18.234,white,black,France,Buenos Aires,CASTEL FRERES,10000
53,white,6.4,180000,350000,1,0.045,39,108,0.9911,3.31,3.31,3.22,0.35,10.9,6,9.795,11.657,13.519,15.381,gray,gray,16.381,white,gray,USA,mancity,CASTEL FRERES,10000
54,white,6.8,200000,590000,0.9,0.147,38,132,0.993,,,3.22,0.38,9.1,6,,10.78,13.59,16.4,greeen ,greeen ,17.4,white,greeen ,USA,"Washington, D.C.",CASTEL FRERES,10000
55,white,6.9,250000,350000,1.3,0.039,29,191,0.9908,3.13,3.13,3.22,0.52,11,6,9.935,11.844,13.753,15.662,yellow ,yellow ,16.662,white,yellow ,USA,Buenos Aires ,CASTEL FRERES,10000
56,white,7.2,210000,340000,11.9,0.043,37,213,0.9962,3.09,3.09,3.22,0.5,9.6,6,9.255,11.038,12.821,14.604,brown ,brown ,15.604,white,brown ,USA,paris,CASTEL FRERES,10000
57,white,6,190000,260000,12.4,0.048,50,147,0.9972,3.3,3.3,3.22,0.36,8.9,6,8.8,10.464,12.128,13.792,red,red,14.792,white,red,USA,Buenos Aires,CASTEL FRERES,10000
58,white,6.6,380000,150000,4.6,0.044,25,78,0.9931,3.11,3.11,3.22,0.38,10.2,6,9.545,11.394,13.243,15.092,black,black,16.092,white,black,USA,mancity,CASTEL FRERES,10000
59,white,7.4,200000,360000,1.2,0.038,44,111,0.9926,3.36,3.36,3.22,0.34,9.9,6,9.27,11.018,12.766,14.514,gray,gray,15.514,white,gray,USA,"Washington, D.C.",CASTEL FRERES,10000
60,white,6.8,220000,240000,4.9,0.092,30,123,0.9951,3.03,3.03,3.22,0.46,8.6,6,8.785,10.49,12.195,13.9,greeen ,greeen ,14.9,white,greeen ,USA,Buenos Aires ,CASTEL FRERES,10000
61,white,6,190000,260000,12.4,0.048,50,147,0.9972,3.3,3.3,3.22,0.36,8.9,6,8.8,10.464,12.128,13.792,yellow ,yellow ,14.792,white,yellow ,USA,paris,CASTEL FRERES,10000
62,white,7,470000,70000,1.1,0.035,17,151,0.991,3.02,3.02,3.22,0.34,10.5,5,8.74,10.35,11.96,13.57,brown ,brown ,14.57,white,brown ,Argentina,Buenos Aires,CASTEL FRERES,10000
63,white,6.6,380000,150000,4.6,0.044,25,78,0.9931,3.11,3.11,3.22,0.38,10.2,6,9.545,11.394,13.243,15.092,red,red,16.092,white,red,France,mancity,CASTEL FRERES,10000
64,white,7.2,240000,270000,1.4,0.038,31,122,0.9927,3.15,3.15,3.22,0.46,10.3,6,9.575,11.414,13.253,15.092,black,black,16.092,white,black,Argentina,"Washington, D.C.",CASTEL FRERES,10000
65,white,6.2,350000,30000,1.2,0.064,29,120,0.9934,3.22,3.22,3.22,0.54,9.1,5,7.94,9.33,10.72,12.11,gray,gray,13.11,white,gray,France,Buenos Aires ,CASTEL FRERES,10000
66,white,6.4,260000,240000,6.4,0.04,27,124,0.9903,3.22,3.22,3.22,0.49,12.6,7,11.69,14.035,16.38,18.725,greeen ,greeen ,19.725,white,greeen ,Argentina,paris,CASTEL FRERES,10000
67,white,6.7,250000,130000,1.2,0.041,81,174,0.992,3.14,3.14,3.22,0.42,9.8,5,8.33,9.826,11.322,12.818,yellow ,yellow ,13.818,white,yellow ,England ,Buenos Aires,CASTEL FRERES,10000
68,black ,6.7,230000,310000,2.1,0.046,30,96,0.9926,3.33,3.33,3.22,0.64,10.7,8,11.685,14.092,16.499,18.906,brown ,brown ,19.906,white,brown ,USA,mancity,CASTEL FRERES,10000
69,black ,7.4,240000,290000,10.1,0.05,21,105,0.9962,3.13,3.13,3.22,0.35,9.5,5,8.185,9.661,11.137,12.613,red,red,13.613,white,red,England ,"Washington, D.C.",CASTEL FRERES,10000
70,black ,6.2,270000,430000,7.8,0.056,48,244,0.9956,3.1,3.1,3.22,0.51,9,6,8.95,10.669,12.388,14.107,black,black,15.107,white,black,England ,Buenos Aires ,CASTEL FRERES,10000
71,black ,6.8,300000,230000,4.6,0.061,50.5,238.5,0.9958,3.32,3.32,3.22,0.6,9.5,5,8.09,9.484,10.878,12.272,gray,gray,13.272,white,gray,England ,paris,CASTEL FRERES,10000
72,black ,6,270000,280000,4.8,0.063,31,201,0.9964,3.69,3.69,3.22,0.71,10,5,8.155,9.477,10.799,12.121,greeen ,greeen ,13.121,white,greeen ,England ,Buenos Aires,CASTEL FRERES,10000
73,black ,8.6,230000,460000,1,0.054,9,72,0.9941,2.95,2.95,3.22,0.49,9.1,6,9.075,10.851,12.627,14.403,yellow ,yellow ,15.403,white,yellow ,England ,mancity,CASTEL FRERES,10000
74,black ,6.7,230000,310000,2.1,0.046,30,96,0.9926,3.33,3.33,3.22,0.64,10.7,8,11.685,14.092,16.499,18.906,brown ,brown ,19.906,white,brown ,England ,"Washington, D.C.",CASTEL FRERES,10000
75,black ,7.4,240000,290000,10.1,0.05,21,105,0.9962,3.13,3.13,3.22,0.35,9.5,5,8.185,9.661,11.137,12.613,red,red,13.613,white,red,England ,Buenos Aires ,CASTEL FRERES,10000
76,black ,7.1,180000,360000,1.4,0.043,31,87,0.9898,3.26,3.26,3.22,0.37,12.7,7,11.72,14.075,16.43,18.785,black,black,19.785,white,black,England ,paris,CASTEL FRERES,10000
77,black ,7,320000,340000,1.3,0.042,20,69,0.9912,3.31,3.31,3.22,0.65,12,7,11.345,13.587,15.829,18.071,gray,gray,19.071,white,gray,England ,Buenos Aires,CASTEL FRERES,10000
78,black ,7.4,180000,300000,8.8,0.064,26,103,0.9961,2.94,2.94,3.22,0.56,9.3,5,8.18,9.672,11.164,12.656,greeen ,greeen ,13.656,white,greeen ,England ,mancity,CASTEL FRERES,10000
79,black ,6.7,540000,280000,5.4,0.06,21,105,0.9949,3.27,3.27,3.22,0.37,9,5,7.865,9.247,10.629,12.011,yellow ,yellow ,13.011,white,yellow ,France,"Washington, D.C.",CASTEL FRERES,10000
80,black ,6.8,220000,310000,1.4,0.053,34,114,0.9929,3.39,3.39,3.22,0.77,10.6,6,9.605,11.371,13.137,14.903,brown ,brown ,15.903,white,brown ,France,Buenos Aires ,CASTEL FRERES,10000
81,black ,7.1,200000,340000,16,0.05,51,166,0.9985,3.21,3.21,3.22,0.6,9.2,6,8.995,10.692,12.389,14.086,red,red,15.086,white,red,France,paris,CASTEL FRERES,10000
82,black ,7.1,340000,200000,6.1,0.063,47,164,0.9946,3.17,3.17,3.22,0.42,10,5,8.415,9.922,11.429,12.936,black,black,13.936,white,black,France,Buenos Aires,CASTEL FRERES,10000
83,white,7.3,220000,300000,8.2,0.047,42,207,0.9966,3.33,3.33,3.22,0.46,9.5,6,9.085,10.79,12.495,14.2,gray,gray,15.2,white,gray,France,mancity,CASTEL FRERES,10000
84,white,7.1,430000,610000,11.8,0.045,54,155,0.9974,3.11,3.11,3.22,0.45,8.7,5,7.795,9.187,10.579,11.971,greeen ,greeen ,12.971,white,greeen ,France,"Washington, D.C.",CASTEL FRERES,10000
85,white,7.1,440000,620000,11.8,0.044,52,152,0.9975,3.12,3.12,3.22,0.46,8.7,6,8.79,10.478,12.166,13.854,yellow ,yellow ,14.854,white,yellow ,USA,Buenos Aires ,CASTEL FRERES,10000
86,white,7.2,0,630000,11,0.044,55,156,0.9974,3.09,3.09,3.22,0.44,8.7,6,8.805,10.504,12.203,13.902,brown ,brown ,14.902,white,brown ,USA,paris,CASTEL FRERES,10000
87,white,6.8,250000,310000,13.3,0.05,69,202,0.9972,3.22,3.22,3.22,0.48,9.7,6,9.24,10.996,12.752,14.508,red,red,15.508,white,red,USA,Buenos Aires,CASTEL FRERES,10000
88,white,7.1,430000,610000,11.8,0.045,54,155,0.9974,3.11,3.11,3.22,0.45,8.7,5,7.795,9.187,10.579,11.971,black,black,12.971,white,black,USA,mancity,CASTEL FRERES,10000
89,white,7.1,440000,620000,11.8,0.044,52,152,0.9975,3.12,3.12,3.22,0.46,8.7,6,8.79,10.478,12.166,13.854,gray,gray,14.854,white,gray,USA,"Washington, D.C.",CASTEL FRERES,10000
90,white,7.2,390000,630000,11,0.044,55,156,0.9974,3.09,3.09,3.22,0.44,8.7,6,8.805,10.504,12.203,13.902,greeen ,greeen ,14.902,white,greeen ,USA,Buenos Aires ,CASTEL FRERES,10000
91,white,6.1,270000,430000,7.5,0.049,65,243,0.9957,3.12,3.12,3.22,0.47,9,5,7.94,9.357,10.774,12.191,yellow ,yellow ,13.191,white,yellow ,USA,paris,CASTEL FRERES,10000
92,white,6.9,240000,330000,1.7,0.035,47,136,0.99,3.26,3.26,3.22,0.4,12.6,7,11.67,14.012,16.354,18.696,brown ,brown ,19.696,white,brown ,USA,Buenos Aires,CASTEL FRERES,10000
93,white,6.9,210000,330000,1.8,0.034,48,136,0.9899,3.25,3.25,3.22,0.41,12.6,7,11.675,14.019,16.363,18.707,red,red,19.707,white,red,USA,mancity,CASTEL FRERES,10000
94,white,7.5,170000,320000,1.7,0.04,51,148,0.9916,3.21,3.21,3.22,0.44,11.5,7,11.145,13.388,15.631,17.874,black,black,18.874,white,black,Argentina,"Washington, D.C.",CASTEL FRERES,10000
95,white,7.1,260000,290000,12.4,0.044,62,240,0.9969,3.04,3.04,3.22,0.42,9.2,6,9.08,10.846,12.612,14.378,gray,gray,15.378,white,gray,France,Buenos Aires ,CASTEL FRERES,10000
96,white,6,340000,660000,15.9,0.046,26,164,0.9979,3.14,3.14,3.22,0.5,8.8,6,8.83,10.518,12.206,13.894,greeen ,greeen ,14.894,white,greeen ,Argentina,paris,CASTEL FRERES,10000
97,white,8.6,265000,360000,1.2,0.034,15,80,0.9913,2.95,2.95,3.22,0.36,11.4,7,11.225,13.544,15.863,18.182,yellow ,yellow ,19.182,white,yellow ,France,Buenos Aires,CASTEL FRERES,10000
98,white,9.8,360000,460000,10.5,,4,83,0.9956,2.89,2.89,3.22,0.3,10.1,4,7.605,8.918,10.231,11.544,brown ,brown ,12.544,white,brown ,Argentina,mancity,CASTEL FRERES,10000
99,white,6,340000,660000,15.9,0.046,26,164,0.9979,3.14,3.14,3.22,0.5,8.8,6,8.83,10.518,12.206,13.894,red,red,14.894,white,red,England ,"Washington, D.C.",CASTEL FRERES,10000
100,white,7.4,250000,370000,13.5,0.06,52,192,0.9975,3,3,3.22,0.44,9.1,5,8.05,9.516,10.982,12.448,black,black,13.448,white,black,USA,Buenos Aires ,CASTEL FRERES,10000
101,white,7.1,120000,320000,9.6,0.054,64,162,0.9962,3.4,3.4,3.22,0.41,9.4,5,8,9.379,10.758,12.137,gray,gray,13.137,white,gray,England ,paris,CASTEL FRERES,10000
102,white,6,210000,240000,12.1,0.05,55,164,0.997,3.34,3.34,3.22,0.39,9.4,5,8.03,9.429,10.828,12.227,greeen ,greeen ,13.227,white,greeen ,England ,Buenos Aires,CASTEL FRERES,10000
103,white,7.5,305000,400000,18.9,0.059,44,170,1,2.99,2.99,3.22,0.46,9,5,8.005,9.462,10.919,12.376,yellow ,yellow ,13.376,white,yellow ,England ,mancity,CASTEL FRERES,10000
104,white,7.4,250000,370000,13.5,0.06,52,192,0.9975,3,3,3.22,0.44,9.1,5,8.05,9.516,10.982,12.448,brown ,brown ,13.448,white,brown ,England ,"Washington, D.C.",CASTEL FRERES,10000
105,white,7.3,130000,320000,14.4,0.051,34,109,0.9974,3.2,3.2,3.22,0.35,9.2,6,9,10.725,12.45,14.175,red,red,15.175,white,red,England ,Buenos Aires ,CASTEL FRERES,10000
106,grey,7.1,120000,320000,9.6,0.054,64,162,0.9962,3.4,3.4,3.22,0.41,9.4,5,8,9.379,10.758,12.137,black,black,13.137,white,black,England ,paris,CASTEL FRERES,10000
107,grey,7.1,230000,350000,16.5,0.04,60,171,0.999,3.16,3.16,3.22,0.59,9.1,6,8.97,10.673,12.376,14.079,gray,gray,15.079,white,gray,England ,Buenos Aires,CASTEL FRERES,10000
108,grey,7.1,230000,350000,16.5,0.04,60,171,0.999,3.16,3.16,3.22,0.59,9.1,6,8.97,10.673,12.376,14.079,greeen ,greeen ,15.079,white,greeen ,England ,mancity,CASTEL FRERES,10000
109,grey,6.9,330000,280000,1.3,0.051,37,187,0.9927,3.27,3.27,3.22,0.6,10.3,5,8.515,10.004,11.493,12.982,yellow ,yellow ,13.982,white,yellow ,England ,"Washington, D.C.",CASTEL FRERES,10000
110,grey,6.5,170000,540000,8.5,0.082,64,163,0.9959,2.89,2.89,3.22,0.39,8.8,6,8.955,10.729,12.503,14.277,brown ,brown ,15.277,white,brown ,England ,Buenos Aires ,CASTEL FRERES,10000
111,grey,7.2,270000,460000,18.75,0.052,45,255,1,3.04,3.04,3.22,0.52,8.9,5,7.93,9.356,10.782,12.208,red,red,13.208,white,red,France,paris,CASTEL FRERES,10000
112,white,7.2,310000,500000,13.3,0.056,68,195,0.9982,3.01,3.01,3.22,0.47,9.2,5,8.095,9.565,11.035,12.505,black,black,13.505,white,black,France,Buenos Aires,CASTEL FRERES,10000
113,white,6.7,410000,340000,9.2,0.049,29,150,0.9968,3.22,3.22,3.22,0.51,9.1,5,7.94,9.333,10.726,12.119,gray,gray,13.119,white,gray,France,mancity,CASTEL FRERES,10000
114,white,6.7,410000,340000,9.2,0.049,29,150,0.9968,3.22,3.22,3.22,0.51,9.1,5,7.94,9.333,10.726,12.119,greeen ,greeen ,13.119,white,greeen ,France,"Washington, D.C.",CASTEL FRERES,10000
115,white,5.5,485000,0,1.5,0.065,8,103,0.994,3.63,3.63,3.22,0.4,9.7,4,7.035,8.076,9.117,10.158,yellow ,yellow ,11.158,white,yellow ,France,Buenos Aires ,CASTEL FRERES,10000
116,white,6,310000,240000,3.3,0.041,25,143,0.9914,3.31,3.31,3.22,0.44,11.3,6,9.995,11.888,13.781,15.674,brown ,brown ,16.674,white,brown ,France,paris,CASTEL FRERES,10000
117,white,7,140000,400000,1.7,0.035,16,85,0.9911,3.19,3.19,3.22,0.42,11.8,6,10.305,12.286,14.267,16.248,red,red,17.248,white,red,USA,Buenos Aires,CASTEL FRERES,10000
118,white,7.2,310000,500000,13.3,0.056,68,195,0.9982,3.01,3.01,3.22,0.47,9.2,5,8.095,9.565,11.035,12.505,black,black,13.505,white,black,USA,mancity,CASTEL FRERES,10000
119,white,7.3,320000,480000,13.3,0.06,57,196,0.9982,3.04,3.04,3.22,0.5,9.2,5,8.08,9.538,10.996,12.454,gray,gray,13.454,white,gray,USA,"Washington, D.C.",CASTEL FRERES,10000
120,white,5.9,360000,40000,5.7,0.046,21,87,0.9934,3.22,3.22,3.22,0.51,10.2,5,8.49,9.993,11.496,12.999,greeen ,greeen ,13.999,white,greeen ,USA,Buenos Aires ,CASTEL FRERES,10000
121,white,7.8,240000,320000,12.2,0.054,42,138,0.9984,3.01,3.01,3.22,0.54,8.8,5,7.895,9.318,10.741,12.164,yellow ,yellow ,13.164,white,yellow ,USA,paris,CASTEL FRERES,10000
122,white,7.4,160000,310000,6.85,0.059,31,131,0.9952,3.29,3.29,3.22,0.34,9.7,5,8.205,9.654,11.103,12.552,brown ,brown ,13.552,white,brown ,USA,Buenos Aires,CASTEL FRERES,10000
123,white,6.9,190000,280000,5,0.058,14,146,0.9952,3.29,3.29,3.22,0.36,9.1,6,8.905,10.592,12.279,13.966,red,red,14.966,white,red,USA,mancity,CASTEL FRERES,10000
124,white,6.4,130000,470000,1.6,0.092,40,158,0.9928,3.21,3.21,3.22,0.36,9.8,6,9.295,11.076,12.857,14.638,black,black,15.638,white,black,USA,"Washington, D.C.",CASTEL FRERES,10000
125,white,6.7,190000,360000,1.1,0.026,63,143,0.9912,3.27,3.27,3.22,0.48,11,6,9.865,11.736,13.607,15.478,gray,gray,16.478,white,gray,USA,Buenos Aires ,CASTEL FRERES,10000
